arch_id,display_name,macro_template,macro_template_source,selected_pool_role,selected_pool_backbone,category,stage_ops,use_skip_connections,ops_used,params,macs,cpu_latency_ms,fpga_latency_ms,top1,top5,macro_f1,weighted_f1,peak_dsp,peak_bram,peak_lut,power_w,feasible,violations
dw_pw_conv_only,DW-PW Conv only,shufflenet_v2_blueprint,experiment_protocol,search_anchor,shufflenet_v2,single,"dw_pw_conv,dw_pw_conv,dw_pw_conv",False,dw_pw_conv,1734440,13296672,4.054290000203764,0.309335,0.17692307692307693,0.8961538461538462,0.0898783294679927,0.17228097635229123,256,104,6588,8.7616,False,memory bandwidth exceeds max_memory_bandwidth_gbps
